"ParID_Ryan","Wrap_Ryan","Clipped_Ryan","Ringing_Ryan","Ghosting_Ryan","Blurriness_Ryan","ParID_Jane","Wrap_Jane","Clipped_Jane","Ringing_Jane","Ghosting_Jane","Blurriness_Jane"
"dmk_136",0,0,5,3,4,"dmk_136",0,0,4,2,3
"dmk_138",0,0,1,2,3,"dmk_138",0,0,1,1,2
"dmk_139",0,0,2,1,2,"dmk_139",0,0,3,1,2
"dmk_140",0,0,2,1,1,"dmk_140",0,0,2,1,2
"dmk_141",0,0,5,3,4,"dmk_141",0,0,5,3,4
"dmk_142",0,0,3,1,2,"dmk_142",0,0,3,1,2
"dmk_143",0,0,2,1,2,"dmk_143",0,0,2,1,2
"dmk_144",0,0,1,1,1,"dmk_144",0,0,1,1,1
"dmk_145",0,0,1,0,1,"dmk_145",0,0,1,1,2
"dmk_146",0,0,3,1,3,"dmk_146",0,0,3,1,3
"dmk_147",0,0,2,1,1,"dmk_147",0,0,2,1,3
"dmk_148",0,0,2,1,1,"dmk_148",0,0,1,1,2
"dmk_149",0,0,1,1,1,"dmk_149",0,0,1,1,1
"dmk_150",0,0,5,2,4,"dmk_150",0,0,5,3,4
"dmk_151",0,0,2,0,2,"dmk_151",0,0,1,1,2
"dmk_152",0,0,2,1,1,"dmk_152",0,0,1,1,1
"dmk_153",0,0,2,1,3,"dmk_153",0,0,3,1,2
"dmk_154",0,0,4,2,5,"dmk_154",0,0,4,1,4
"dmk_155",0,0,3,2,4,"dmk_155",0,0,3,2,4
"dmk_156",0,0,1,1,2,"dmk_156",0,0,2,1,2
"dmk_157",0,0,1,1,2,"dmk_157",0,0,1,1,2
"dmk_158",0,0,5,3,4,"dmk_158",0,0,5,3,4
"dmk_159",NA,NA,NA,NA,NA,"dmk_159",NA,NA,NA,NA,NA
"dmk_160",0,0,2,2,3,"dmk_160",0,0,1,2,2
"dmk_161",0,0,1,1,2,"dmk_161",0,0,1,1,1
"dmk_162",0,0,1,1,2,"dmk_162",0,0,1,1,2
"dmk_163",0,0,3,1,3,"dmk_163",0,0,3,1,3
"dmk_165",0,0,2,1,2,"dmk_165",0,0,1,1,1
"dmk_166",0,0,2,1,2,"dmk_166",0,0,2,1,2
"dmk_167",0,0,2,1,2,"dmk_167",0,0,2,1,2
"dmk_168",0,0,4,2,3,"dmk_168",0,0,4,2,2
"dmk_171",0,0,2,1,2,"dmk_171",0,0,1,1,2
"port_1011",0,0,1,0,3,"port_1011",0,0,1,1,3
"port_1012",0,0,3,1,4,"port_1012",0,0,3,1,3
"port_1021",0,0,2,1,4,"port_1021",0,0,2,1,3
"port_1041",0,0,2,1,3,"port_1041",0,0,2,1,4
"port_1051",0,0,5,2,5,"port_1051",0,0,5,1,4
"port_1052",0,0,2,1,4,"port_1052",0,0,3,1,4
"port_1061",0,1,2,1,3,"port_1061",0,1,2,1,3
"port_1071",0,0,1,0,2,"port_1071",0,0,1,1,2
"port_1072",0,0,1,1,3,"port_1072",0,0,2,1,3
"port_1091",0,1,2,1,3,"port_1091",0,1,2,1,3
"port_1101_a_wrong",NA,NA,NA,NA,NA,"port_1101_a_wrong",NA,NA,NA,NA,NA
"port_1111",0,0,2,0,2,"port_1111",0,0,2,1,3
"port_1121",0,0,4,2,5,"port_1121",0,0,4,1,4
"port_1131",0,0,1,1,3,"port_1131",0,0,2,1,4
"port_1151",0,0,1,0,2,"port_1151",0,0,1,1,2
"port_1161",0,0,2,1,2,"port_1161",0,0,2,1,3
"port_1171",0,0,2,1,2,"port_1171",0,0,2,1,3
"port_1181",0,1,4,3,5,"port_1181",0,0,4,4,4
"port_1191",0,0,2,1,2,"port_1191",0,0,2,1,2
"port_1201",0,0,2,1,3,"port_1201",0,0,3,1,3
"port_1211",0,0,3,1,2,"port_1211",0,0,3,1,2
"port_1231",0,0,2,1,2,"port_1231",0,0,2,1,3
"port_1241",0,0,1,1,2,"port_1241",0,0,1,1,3
"port_1251",0,0,1,0,1,"port_1251",0,0,1,1,2
"port_1261",0,0,1,1,2,"port_1261",0,0,2,1,2
"port_1271",0,0,3,1,2,"port_1271",0,0,2,1,2
"port_1281",0,0,5,2,4,"port_1281",0,0,5,1,3
"port_1291",0,0,5,3,4,"port_1291",0,0,4,3,3
"port_1301",0,0,5,3,4,"port_1301",0,0,4,3,4
"port_1311",0,0,3,2,3,"port_1311",0,0,4,2,3
"port_1321",0,0,2,2,3,"port_1321",0,0,2,2,2
"port_1331",0,0,3,1,2,"port_1331",0,0,3,1,1
"port_1341",0,0,3,1,3,"port_1341",0,0,3,2,2
"port_1351",0,0,5,3,5,"port_1351",0,0,4,3,5
"port_1361",0,0,3,1,3,"port_1361",0,0,4,1,3
"port_1371",0,0,2,1,4,"port_1371",0,0,1,1,3
"port_1381",0,0,2,1,2,"port_1381",0,0,3,1,2
"port_1391",0,0,2,1,2,"port_1391",0,0,3,1,3
"port_1401",0,1,2,1,3,"port_1401",0,1,3,1,2
"port_1411",0,0,3,2,3,"port_1411",0,0,4,2,2
"port_1421",0,0,2,1,1,"port_1421",0,0,3,1,2
"port_1431",0,0,1,1,1,"port_1431",0,0,1,1,1
"port_1441",0,0,1,1,1,"port_1441",0,0,2,1,1
"port_1451",0,0,2,2,2,"port_1451",0,0,1,2,3
"port_1461",0,0,2,2,2,"port_1461",0,0,2,1,2
"port_1471",0,0,1,1,1,"port_1471",0,0,1,1,1
"port_1481",0,0,2,1,2,"port_1481",0,0,2,1,1
"port_1491",0,0,3,1,3,"port_1491",0,0,3,1,3
"port_1511",0,0,4,1,4,"port_1511",0,0,3,1,4
"trt_101A",0,0,1,1,2,"trt_101A",0,0,1,1,3
"trt_101B",0,0,2,1,2,"trt_101B",0,0,1,1,2
"trt_102A",0,0,3,2,4,"trt_102A",0,0,3,2,4
"trt_102B",0,0,3,1,2,"trt_102B",0,0,3,2,2
"trt_103A",0,0,1,1,2,"trt_103A",0,0,1,1,3
"trt_103B",0,0,1,1,2,"trt_103B",0,0,1,1,2
"trt_104A",0,0,1,1,1,"trt_104A",0,0,1,1,1
"trt_104B",0,0,2,1,2,"trt_104B",0,0,3,1,2
"trt_105A",0,0,2,1,2,"trt_105A",0,0,3,1,1
"trt_105B",0,0,1,1,1,"trt_105B",0,0,2,1,1
"trt_106A",0,0,1,1,1,"trt_106A",0,0,1,1,1
"trt_106B",0,0,1,1,1,"trt_106B",0,0,1,1,2
"trt_107A",0,0,2,2,2,"trt_107A",0,0,2,2,1
"trt_107B",0,0,2,1,2,"trt_107B",0,0,2,1,2
"trt_108A",0,0,2,1,2,"trt_108A",0,0,2,1,1
"trt_108B",0,0,5,2,4,"trt_108B",0,0,5,2,3
"trt_110A",0,0,3,2,3,"trt_110A",0,0,4,1,2
"trt_110B",0,0,2,1,3,"trt_110B",0,0,2,1,3
"trt_111A",NA,NA,NA,NA,NA,"trt_111A",NA,NA,NA,NA,NA
"trt_112A",0,0,1,1,1,"trt_112A",0,0,1,1,2
"trt_112B",0,0,3,1,3,"trt_112B",0,0,3,1,4
"trt_113A",NA,NA,NA,NA,NA,"trt_113A",NA,NA,NA,NA,NA
"trt_113B",0,0,2,1,3,"trt_113B",0,0,2,1,3
"trt_114A",0,0,5,2,5,"trt_114A",0,0,4,2,4
"trt_114B",0,0,3,2,5,"trt_114B",0,0,2,1,5
"trt_115A",0,0,4,2,4,"trt_115A",0,0,4,2,4
"trt_115B",0,0,3,1,2,"trt_115B",0,0,4,1,2
"trt_116A",0,0,1,1,2,"trt_116A",0,0,1,1,2
"trt_116B",0,0,2,1,2,"trt_116B",0,0,2,1,2
"trt_117A",0,0,1,1,1,"trt_117A",0,0,1,1,2
"trt_117B",0,0,5,3,5,"trt_117B",0,0,5,3,5
"trt_118A",0,0,2,1,3,"trt_118A",0,0,2,1,3
"trt_118B",0,0,3,2,3,"trt_118B",0,0,3,2,3
"trt_120A",0,0,2,2,2,"trt_120A",0,0,2,2,2
"trt_120B",0,0,1,1,2,"trt_120B",0,0,1,1,2
"trt_121A",0,0,1,1,2,"trt_121A",0,0,1,1,2
"trt_121B",0,0,1,1,2,"trt_121B",0,0,1,1,2
"trt_122A",0,0,3,1,3,"trt_122A",0,0,3,1,2
"trt_122B",0,0,4,2,4,"trt_122B",0,0,5,2,3
"trt_123A",0,0,4,2,5,"trt_123A",0,0,4,2,4
"trt_124A",0,0,2,1,4,"trt_124A",0,0,1,1,3
"trt_124B",0,0,1,1,3,"trt_124B",0,0,2,1,2
"trt_125A",0,5,2,2,4,"trt_125A",0,5,2,2,3
"trt_125B",0,0,2,1,3,"trt_125B",0,0,2,3,3
"trt_126A",0,0,1,0,3,"trt_126A",0,0,1,1,2
"trt_126B",0,0,1,0,3,"trt_126B",0,0,1,1,2
"trt_128A",0,0,2,2,3,"trt_128A",0,0,2,2,3
"trt_128B",0,0,5,3,5,"trt_128B",0,0,5,3,5
"trt_130A",0,0,1,1,2,"trt_130A",0,0,1,1,2
"trt_130B",0,0,2,1,2,"trt_130B",0,0,1,1,2
"trt_131A",0,0,1,1,2,"trt_131A",0,0,2,1,2
"trt_131B",0,0,1,1,2,"trt_131B",0,0,1,1,2
"trt_132A",0,0,1,1,2,"trt_132A",0,0,1,1,2
"trt_132B",0,0,2,2,2,"trt_132B",0,0,2,2,3
"trt_133A",0,0,2,1,2,"trt_133A",0,0,2,1,2
"trt_133B",0,0,2,1,2,"trt_133B",0,0,1,1,3
"trt_134A",0,0,3,1,2,"trt_134A",0,0,4,2,2
"trt_134B",0,0,2,1,2,"trt_134B",0,0,2,1,2
"trt_135A",0,0,1,1,2,"trt_135A",0,0,1,1,3
"trt_135B",0,0,1,1,2,"trt_135B",0,0,1,1,2
"trt_136A",0,0,2,1,1,"trt_136A",0,0,1,1,1
"trt_136B",0,0,4,2,4,"trt_136B",0,0,5,2,4
"trt_137A",0,0,3,1,2,"trt_137A",0,0,3,1,2
"trt_137B",0,0,3,1,2,"trt_137B",0,0,4,1,2
"trt_138A",0,0,1,1,2,"trt_138A",0,0,1,1,3
"trt_138B",0,1,1,1,1,"trt_138B",0,1,1,2,2
"trt_139A",0,0,4,1,4,"trt_139A",0,0,4,2,3
